,spp,fbsci,maxlength,mortalitywild,fecundity,fecundity_mean,maturitylength,maturitylength_mean,maturityage,maturityage_mean,numberofspawningcycles,reproductiveseasonlength,fertilization,reproductionmode,spawningground,batchspawner,parentalcare,larvaesize,larvae_mean
237,Sphaeramia orbicularis,Sphaeramia orbicularis,10,NA,NA,NaN,"c(6, 7)",6.5,"c(NA, NA)",NaN,NA,NA,external,dioecism,NA,0,NA,NA,NaN
238,Sphyraena barracuda,Sphyraena barracuda,200,NA,NA,NaN,"c(NA, 58, NA)",58,"c(2, 4, NA)",3,NA,NA,external,dioecism,NA,-1,3,NA,NaN
239,Sphyraena viridensis,Sphyraena viridensis,128,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
240,Sphyrna lewini,Sphyrna lewini,430,35,"c(NA, NA, NA, 40)",40,"c(250, 180, 140, NA, NA, 185, 200, 140, NA, 220, 165, 240, NA, NA, NA, 140, 200, 128)",182.3333333,"c(15, 10, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 3, NA, NA)",9.333333333,NA,NA,internal (oviduct),dioecism,"c(NA, NA)",0,NA,NA,NaN
241,Sprattus sprattus,Sprattus sprattus,16,6,"c(8848, 8700, 333, 426, 28193, 3825, 2939, 8700, 2000, 242800, 5000, 6000, 8000, 333)",23292.64286,"c(NA, 11, 8, 10, NA, NA, NA, 8.8, NA, NA, NA, NA, NA, NA, NA, NA)",9.45,"c(NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, 2, NA, 1, NA, NA, NA)",1.5,Variable throughout range,NA,external,dioecism,"c(""coastal"", NA, NA, NA, ""coastal"", ""coastal"")",-1,3,3,3
242,Squalus blainville,Squalus blainville,100,NA,3,3,"c(60, 50, 57, 45, NA, NA)",53,"c(NA, NA, NA, NA, NA, NA)",NaN,"throughout the year, but peaking once",NA,internal (oviduct),dioecism,NA,0,1,NA,NaN
243,Squatina aculeata,Squatina aculeata,188,NA,NA,NaN,124,124,NA,NaN,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
244,Squatina oculata,Squatina oculata,160,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,internal (oviduct),dioecism,shelf,0,NA,NA,NaN
245,Stenobrachius leucopsarus,Stenobrachius leucopsarus,13,8,NA,NaN,NA,NaN,4,4,NA,NA,external,dioecism,"c(NA, NA)",0,NA,2,2
246,Stenobrachius nannochir,Stenobrachius nannochir,11,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
247,Stichaeus grigorjewi,Stichaeus grigorjewi,60,NA,37120,37120,NA,NaN,NA,NaN,NA,NA,NA,NA,coastal,NA,NA,NA,NaN
248,Syngnathus leptorhynchus,Syngnathus leptorhynchus,32.5,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,in brood pouch or similar structure,dioecism,"c(NA, NA)",-1,1,NA,NaN
249,Takifugu rubripes,Takifugu rubripes,80,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,coastal,0,3,NA,NaN
250,Thalassoma bifasciatum,Thalassoma bifasciatum,25,3,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,protogyny,NA,0,NA,1.48,1.48
251,Thamnaconus hypargyreus,Thamnaconus hypargyreus,17.8,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
252,Thunnus albacares,Thunnus albacares,239,9,"c(2e+05, 2e+06, 7136000, 398705, 2306062)",2408153.4,"c(50, 101, 120, 120, NA, NA, 78)",93.8,"c(1, 2, 3.5, 5, NA, NA, NA)",2.875,"Throughout the year, but peaking once",NA,external,dioecism,"c(NA, ""coastal"", ""coastal"", ""coastal"", ""coastal"", NA, NA, NA, NA, NA, ""coastal"", NA, NA)",-1,3,NA,NaN
253,Thunnus obesus,Thunnus obesus,250,11,"c(2900000, 8163715)",5531857.5,"c(130, 100, NA, 100, 67, 91)",97.6,"c(NA, NA, NA, 3, NA, 3)",3,Variable throughout range,NA,external,dioecism,"c(NA, NA, NA, NA)",-1,3,NA,NaN
254,Torpedo marmorata,Torpedo marmorata,100,NA,5,5,"c(39, 24)",31.5,"c(NA, NA)",NaN,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
255,Totoaba macdonaldi,Totoaba macdonaldi,200,24,NA,NaN,"c(NA, NA)",NaN,"c(NA, NA)",NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
256,Trachurus mediterraneus,Trachurus mediterraneus,60,NA,NA,NaN,"c(NA, NA)",NaN,"c(NA, NA)",NaN,NA,NA,external,dioecism,NA,0,4,NA,NaN
257,Trachurus murphyi,Trachurus murphyi,70,16,NA,NaN,"c(36, 39, 31)",35.33333333,"c(NA, NA, NA)",NaN,NA,NA,external,dioecism,NA,0,4,NA,NaN
258,Trachurus picturatus,Trachurus picturatus,60,NA,NA,NaN,"c(24.5, NA, NA, 24.1, 26.2)",24.93333333,"c(NA, NA, NA, NA, NA)",NaN,NA,NA,external,dioecism,"c(NA, ""coastal"")",0,4,NA,NaN
259,Trachurus trachurus,Trachurus trachurus,70,NA,"c(NA, 77090, 76000, 50000, 168000, 12700, NA, NA, 344700, 19225, 247057, 260023, 4551, 168000)",129758.7273,"c(NA, NA, NA, 21, NA, NA, 23, 22, NA, NA, NA, NA, 33, 18, 26, 20, NA, 25, 24, NA, NA, NA)",23.55555556,"c(NA, NA, NA, 2.5, NA, NA, 4, 3, NA, NA, NA, NA, 4, NA, NA, NA, NA, 3, 3.5, NA, NA, NA)",3.333333333,one clear seasonal peak per year,NA,external,dioecism,"c(NA, ""shelf"", NA, NA)",-1,4,2.2,2.2
260,Triaenodon obesus,Triaenodon obesus,213,25,1,1,"c(105, 104, 100, NA, 125, 100, 105)",106.5,"c(NA, NA, 5, 8, NA, NA, NA)",6.5,NA,NA,internal (oviduct),dioecism,"c(NA, NA)",0,NA,NA,NaN
261,Trygonorrhina dumerilii,Trygonorrhina dumerilii,146,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
262,Trygonorrhina fasciata,Trygonorrhina fasciata,126,NA,NA,NaN,"c(NA, 65)",65,"c(NA, NA)",NaN,NA,NA,internal (oviduct),dioecism,NA,0,NA,NA,NaN
263,Tylosurus acus imperialis,Tylosurus acus imperialis,140,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,NA,0,3,NA,NaN
264,Uropterygius micropterus,Uropterygius micropterus,30,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,NA,NA,NA,NA,NA,NA,NaN
265,Verasper variegatus,Verasper variegatus,60,NA,NA,NaN,NA,NaN,NA,NaN,NA,NA,external,dioecism,coastal,0,1,NA,NaN
266,Xiphias gladius,Xiphias gladius,455,NA,"c(1e+06, 2e+06)",1500000,"c(150, NA, NA, 156)",153,"c(5, NA, NA, NA)",5,Variable throughout range,NA,external,dioecism,"c(NA, ""oceanic"", NA, NA, NA, ""oceanic"", NA, NA, NA, NA, NA, NA, ""oceanic"")",-1,3,4.2,4.2
267,Xyrichtys novacula,Xyrichtys novacula,38,8,NA,NaN,NA,NaN,NA,NaN,one clear seasonal peak per year,NA,external,protogyny,NA,0,NA,NA,NaN
268,Zearaja chilensis,Zearaja chilensis,210,NA,NA,NaN,"c(97, 98, 79, 76)",87.5,"c(10, 11, 7, 7)",8.75,NA,NA,internal (oviduct),dioecism,NA,0,3,NA,NaN
269,Zebrasoma flavescens,Zebrasoma flavescens,20,NA,1176224,1176224,NA,NaN,NA,NaN,"throughout the year, but peaking once",NA,external,dioecism,coastal,-1,3,NA,NaN
